시도,시군구,연령,성별,전체대상자수,전체수검자수,위암대상자수,위암수검자수,대장암대상자수,대장암수검자수,간암대상자수,간암수검자수,유방암대상자수,유방암수검자수,자궁경부암대상자수,자궁경부암수검자수,폐암대상자수,폐암수검자수
서울특별시,종로구,20-24세,여자,2077,788,,,,,,,,,2077,788,,
서울특별시,종로구,25-29세,여자,2084,1173,,,,,,,,,2084,1173,,
서울특별시,종로구,30-34세,여자,2832,1732,,,,,,,,,2832,1732,,
서울특별시,종로구,35-39세,여자,1837,1105,,,,,,,,,1837,1105,,
서울특별시,종로구,40-44세,남자,2673,1478,2613,1437,,,126,84,,,,,,
서울특별시,종로구,40-44세,여자,3033,2185,2813,1624,,,79,56,2844,1730,2848,1704,,
서울특별시,종로구,45-49세,남자,2080,1207,1967,1124,,,180,126,,,,,,
서울특별시,종로구,45-49세,여자,2452,1760,2234,1338,,,125,90,2212,1367,2210,1377,,
서울특별시,종로구,50-54세,남자,5322,2260,3326,1726,5148,1574,205,140,,,,,65,24
서울특별시,종로구,50-54세,여자,5709,3090,3615,2166,5386,1909,144,113,3609,2207,3643,2208,,
서울특별시,종로구,55-59세,남자,4845,1810,2134,1161,4695,1347,167,111,,,,,122,49
서울특별시,종로구,55-59세,여자,4937,2308,2286,1424,4710,1582,127,95,2270,1468,2290,1468,6,1
서울특별시,종로구,60-64세,남자,4600,2134,2909,1602,4371,1593,186,124,,,,,187,71
서울특별시,종로구,60-64세,여자,4982,2797,3127,1987,4722,2009,128,88,3158,2097,3105,1931,1,0
서울특별시,종로구,65-69세,남자,3477,1543,1538,934,3351,1239,111,72,,,,,99,44
서울특별시,종로구,65-69세,여자,3764,1837,1721,1108,3599,1403,119,70,1726,1150,1713,1060,5,2
서울특별시,종로구,70-74세,남자,2259,1169,1431,850,2163,942,84,57,,,,,53,23
서울특별시,종로구,70-74세,여자,2857,1568,1808,1143,2716,1193,93,63,1812,1175,1786,1016,4,1
서울특별시,종로구,75-79세,남자,1783,694,732,400,1737,598,56,22,,,,,,
서울특별시,종로구,75-79세,여자,2440,939,1043,597,2358,723,72,32,1029,579,1002,496,,
서울특별시,종로구,80-84세,남자,1366,499,831,362,1319,397,28,6,,,,,,
서울특별시,종로구,80-84세,여자,1889,599,1193,399,1815,430,40,15,1183,393,1175,337,,
서울특별시,종로구,85세 이상,남자,843,160,380,81,831,136,15,3,,,,,,
서울특별시,종로구,85세 이상,여자,1372,159,626,79,1360,120,23,7,622,71,618,47,,
서울특별시,중구,20-24세,여자,1502,554,,,,,,,,,1502,554,,
서울특별시,중구,25-29세,여자,1885,1137,,,,,,,,,1885,1137,,
서울특별시,중구,30-34세,여자,3108,2051,,,,,,,,,3108,2051,,
서울특별시,중구,35-39세,여자,2069,1282,,,,,,,,,2069,1282,,
서울특별시,중구,40-44세,남자,2632,1473,2575,1428,,,124,80,,,,,,
서울특별시,중구,40-44세,여자,2725,1949,2497,1457,,,98,71,2512,1506,2543,1523,,
서울특별시,중구,45-49세,남자,1699,999,1611,930,,,149,104,,,,,,
서울특별시,중구,45-49세,여자,1917,1396,1726,1098,,,88,57,1725,1092,1721,1053,,
서울특별시,중구,50-54세,남자,4381,1820,2741,1411,4176,1135,166,117,,,,,51,10
서울특별시,중구,50-54세,여자,4727,2578,2922,1765,4390,1491,160,115,2895,1822,2926,1814,2,1
서울특별시,중구,55-59세,남자,4057,1571,1798,1026,3907,1097,147,90,,,,,107,30
서울특별시,중구,55-59세,여자,4271,2111,2024,1332,4039,1356,110,83,2008,1360,1976,1267,1,1
서울특별시,중구,60-64세,남자,4008,1883,2580,1462,3778,1245,143,97,,,,,174,50
서울특별시,중구,60-64세,여자,4518,2541,2825,1830,4205,1680,123,98,2804,1835,2781,1714,5,0
서울특별시,중구,65-69세,남자,3076,1361,1342,851,2940,1003,119,84,,,,,75,26
서울특별시,중구,65-69세,여자,3494,1702,1588,1069,3322,1220,118,81,1581,1076,1567,1001,5,1
서울특별시,중구,70-74세,남자,2096,1067,1298,810,1968,749,58,34,,,,,64,17
서울특별시,중구,70-74세,여자,2469,1298,1561,969,2336,907,56,37,1538,943,1511,824,1,1
서울특별시,중구,75-79세,남자,1509,619,619,368,1450,492,45,25,,,,,,
서울특별시,중구,75-79세,여자,2034,754,880,481,1968,575,57,32,861,438,834,355,,
서울특별시,중구,80-84세,남자,987,327,620,231,951,247,23,9,,,,,,
서울특별시,중구,80-84세,여자,1484,461,952,322,1428,318,29,14,932,284,920,225,,
서울특별시,중구,85세 이상,남자,544,92,239,51,534,77,8,2,,,,,,
서울특별시,중구,85세 이상,여자,1217,148,572,66,1206,124,12,0,562,51,561,35,,
서울특별시,용산구,20-24세,여자,2549,867,,,,,,,,,2549,867,,
서울특별시,용산구,25-29세,여자,3005,1721,,,,,,,,,3005,1721,,
서울특별시,용산구,30-34세,여자,5019,3128,,,,,,,,,5019,3128,,
서울특별시,용산구,35-39세,여자,3390,2096,,,,,,,,,3390,2096,,
서울특별시,용산구,40-44세,남자,4613,2563,4542,2503,,,177,121,,,,,,
서울특별시,용산구,40-44세,여자,4931,3464,4524,2581,,,148,104,4548,2619,4588,2717,,
